,NaturalizedCountry2013,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
13,Azerbaijan,786,2,2,8,2,290,5,3,2,4,23,7,0,0,5,13,5,6,0,4,2,2,23,16,18,6,0,4,0,0,4,2,10,0,152,7,0,16,3,8,29,0,0,2,2,0,43,0,0,3,2,17,34,2,2,0,2
14,Bahamas,681,2,0,2,0,14,0,2,3,3,463,29,0,0,0,8,3,2,0,5,2,2,10,10,4,2,0,2,0,0,3,0,10,0,24,10,0,10,3,2,7,2,0,6,0,8,15,0,2,3,2,8,0,0,3,0,0
15,Bahrain,76,2,0,3,0,13,2,0,0,0,4,2,0,0,2,7,0,0,2,0,0,0,3,2,2,2,0,0,0,0,2,0,3,0,7,0,0,2,2,0,2,0,0,2,0,2,11,0,0,0,0,3,2,0,0,0,0
16,Bangladesh,9571,35,2,66,13,613,23,136,19,12,480,259,0,5,3,86,11,10,30,7,21,0,201,121,363,35,3,20,0,15,21,2,525,9,4955,32,0,61,43,20,245,0,7,17,3,32,543,0,2,5,2,386,50,2,8,0,15
17,Barbados,683,2,2,0,0,15,3,10,2,2,80,21,0,2,0,5,2,0,0,0,2,0,22,44,0,2,2,0,0,0,2,0,42,0,347,15,0,4,2,2,24,0,0,4,0,0,10,2,3,0,0,11,0,3,2,0,2
18,Belarus,1797,3,4,13,2,271,32,24,5,2,92,27,2,7,4,90,13,2,3,4,5,2,20,105,16,93,2,9,11,5,6,4,102,2,329,33,0,45,2,35,112,0,5,32,2,14,31,0,0,5,2,45,110,0,16,0,4
19,Belgium,513,2,2,5,0,95,10,8,0,4,50,20,0,0,3,17,2,0,0,2,2,2,24,13,12,6,0,4,2,0,2,5,28,3,52,9,0,8,0,7,16,0,3,7,0,4,44,0,0,2,0,20,9,2,12,0,0
20,Belize,966,2,0,13,2,399,3,4,3,2,81,23,0,0,0,92,9,0,2,2,7,0,10,7,6,5,4,3,2,0,19,0,10,0,119,10,0,6,4,4,7,0,2,8,0,5,67,4,2,2,2,11,2,0,4,0,2
21,Benin,206,0,0,2,0,6,4,0,0,2,8,4,0,2,0,17,6,3,2,3,2,0,29,3,3,2,0,0,0,14,2,0,4,0,18,7,2,6,3,0,21,0,0,3,0,0,12,0,0,0,2,13,4,0,2,0,0
22,Bermuda,59,5,0,0,2,2,0,2,0,2,11,4,0,0,0,0,2,0,0,0,2,0,5,3,0,0,0,2,0,0,0,2,4,0,3,4,0,3,0,0,0,0,2,2,0,0,2,0,0,0,2,2,2,0,0,0,2
23,Bhutan,275,0,2,17,0,22,2,0,0,0,2,19,0,0,8,5,2,2,2,5,0,0,3,5,2,6,0,5,2,0,0,19,0,0,35,4,3,27,0,7,23,0,0,2,2,2,16,0,0,3,5,6,18,0,0,0,0
24,Bolivia,1961,3,0,7,3,144,10,12,2,6,279,22,0,2,2,19,5,0,4,4,5,4,142,30,4,6,4,6,0,3,8,3,61,3,139,18,0,10,5,10,16,2,39,14,0,3,90,0,0,16,0,768,10,4,10,2,6
25,Bosnia-Herzegovina,3662,2,2,127,2,113,40,88,2,2,314,218,0,2,44,231,52,228,8,143,8,2,23,46,247,49,0,463,2,13,35,48,38,0,252,63,33,132,6,25,95,0,0,7,12,39,142,0,0,45,11,76,91,2,41,0,4
26,Botswana,29,2,0,2,0,2,2,0,2,0,0,6,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,3,2,0,0,0,0
27,Brazil,9565,26,5,66,11,1054,76,341,11,33,2255,331,0,48,8,130,40,11,19,22,36,10,143,1776,70,52,11,39,5,9,70,72,687,11,674,132,4,72,22,33,155,7,23,62,2,39,394,4,0,93,8,155,120,6,46,4,32
28,British Virgin Islands,45,2,0,0,0,2,0,0,0,2,10,5,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,5,2,0,0,2,0,0,0,0,0,0,0,0,2,12,0,0,2,0,0,0,0,0
29,Brunei,11,0,0,2,0,4,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Bulgaria,2646,2,2,48,2,380,27,36,7,8,210,94,0,11,6,503,17,5,5,21,13,13,43,128,44,23,3,42,2,2,116,7,68,4,221,32,2,45,9,12,55,0,3,26,0,11,83,0,0,17,2,105,95,2,27,0,10
31,Burkina Faso,230,0,2,3,2,6,0,5,3,2,4,10,0,0,0,7,2,0,0,0,0,0,22,0,2,9,2,2,0,2,2,0,19,2,58,4,0,6,2,0,6,0,0,10,0,0,11,0,0,0,0,11,13,0,6,0,0
32,Burma,3489,5,2,66,3,640,25,19,0,2,123,82,2,8,21,112,218,38,42,31,6,4,135,39,62,232,2,23,0,94,17,2,18,5,522,138,0,65,46,39,55,0,2,29,13,42,226,0,0,22,2,69,85,2,52,0,7
33,Burundi,379,6,0,23,2,11,13,2,0,0,5,7,0,0,7,8,2,13,2,13,0,2,8,7,3,4,0,16,0,9,0,3,2,3,28,2,3,20,2,15,7,0,3,2,5,11,56,0,0,7,17,21,11,0,2,0,0
34,Cambodia,4161,7,4,23,13,1696,35,42,2,4,86,81,0,7,0,41,15,9,16,35,14,26,29,359,38,157,3,11,2,7,24,10,20,2,61,61,2,65,9,55,286,0,55,24,2,26,234,2,0,19,2,84,335,0,20,2,6
35,Cameroon,2541,14,4,26,6,123,19,9,14,46,53,158,0,3,2,73,20,10,9,17,11,4,816,83,35,94,8,17,0,17,9,3,41,7,92,33,5,74,48,2,38,0,2,45,6,10,269,2,2,2,0,118,12,2,13,2,18
36,Canada,8690,30,29,312,11,1256,149,130,22,25,892,264,2,61,49,271,78,43,42,43,35,71,131,307,409,150,14,61,29,29,115,89,216,37,508,292,33,212,37,150,192,2,23,122,6,81,650,7,2,65,65,194,509,8,101,8,22
37,Cape Verde,1014,0,0,0,0,3,0,32,0,2,15,0,0,0,0,0,0,0,0,2,2,0,3,765,2,0,0,0,0,0,0,0,6,0,9,2,0,2,0,0,2,0,159,5,0,2,0,2,0,2,0,2,0,0,0,0,2
38,Cayman Islands,17,0,0,0,0,2,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Central African Republic,54,2,0,2,0,2,2,0,0,2,0,2,0,0,0,4,2,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,4,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0
40,Chad,64,2,0,2,0,4,0,2,0,2,2,2,0,0,0,2,6,2,0,2,0,0,6,0,0,0,0,2,0,2,0,0,11,0,6,2,0,2,0,2,5,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0
41,Chile,1649,4,3,21,3,240,14,26,7,11,463,34,0,5,2,21,9,3,2,4,3,2,32,47,12,17,2,8,3,0,12,5,106,4,165,41,2,20,5,16,45,8,3,12,0,13,67,0,0,36,2,42,33,3,6,2,5
42,"China, People's Republic",35387,81,24,225,70,10600,199,294,60,45,768,533,24,216,27,991,227,97,105,104,89,28,734,1206,335,280,61,227,15,38,309,42,974,48,10209,381,18,467,113,330,1010,25,47,191,10,161,1462,8,5,81,20,683,826,31,168,10,55
43,Christmas Island,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Colombia,22196,42,16,110,20,1054,67,366,25,22,9498,775,2,18,8,265,41,23,31,34,63,5,274,513,56,65,18,41,6,34,109,41,2094,31,3164,459,6,85,49,29,321,86,133,298,2,74,1087,7,6,75,4,339,95,8,50,2,50
45,Comoros,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
46,"Congo, Democratic Republic",1250,4,0,48,0,75,28,25,0,5,24,70,0,0,23,54,10,16,7,25,3,23,84,48,16,18,2,21,0,7,3,9,8,2,75,119,2,35,3,14,17,0,5,2,11,13,193,0,2,7,9,61,14,2,7,0,4
47,"Congo, Republic",402,4,2,13,0,21,10,2,2,2,8,12,0,2,5,24,2,6,0,6,4,3,23,9,8,2,0,9,0,4,5,5,9,6,38,21,0,17,2,5,20,0,2,2,2,5,52,0,0,4,5,15,4,0,0,0,5
48,Cook Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
49,Costa Rica,1661,3,3,14,3,172,15,34,3,4,346,64,2,3,3,23,10,2,8,3,11,5,30,32,7,12,2,9,2,5,23,2,272,5,144,76,0,10,7,12,39,10,2,34,2,14,96,0,2,10,2,37,20,2,14,2,4
50,Cote d'Ivoire,958,2,2,7,2,59,14,6,5,5,18,78,0,2,0,24,11,4,2,6,2,0,107,26,17,15,0,12,0,4,3,2,46,2,239,28,2,27,8,3,33,0,4,20,0,9,38,0,0,3,0,35,20,2,5,0,5
51,Croatia,561,0,0,19,0,66,7,8,5,2,68,17,0,2,2,27,17,15,4,2,2,4,7,17,11,8,2,16,0,2,7,4,20,2,51,15,0,53,2,3,10,0,0,4,3,2,19,0,0,2,0,10,6,2,18,0,2
52,Cuba,30482,18,7,130,4,295,17,29,2,6,26231,161,0,4,3,102,15,8,17,341,55,2,30,46,104,14,9,47,0,64,406,3,549,61,348,115,3,23,17,113,112,118,7,38,2,61,482,6,0,10,0,119,34,2,21,0,73
53,Cyprus,112,0,2,4,0,10,0,4,0,0,14,2,0,0,0,5,0,0,2,2,2,2,0,5,4,0,0,2,0,0,2,0,9,2,23,3,0,0,2,0,2,0,2,0,0,3,7,0,0,0,0,2,2,0,2,0,0
54,Czech Republic,562,8,2,3,2,78,17,9,0,2,104,34,0,5,2,48,2,2,4,4,2,2,18,11,5,6,2,7,2,0,7,4,19,0,50,11,0,8,2,7,16,0,2,3,0,2,18,2,0,2,2,19,9,2,4,0,0
55,"Czechoslovakia, former",232,4,2,2,0,32,9,6,2,2,26,10,0,2,2,12,2,2,2,3,0,2,6,2,5,6,0,5,2,0,3,2,11,0,18,5,0,4,2,2,4,0,0,2,0,5,7,2,0,2,2,8,12,0,3,0,2
56,Denmark,127,0,0,2,0,28,0,2,0,0,10,7,0,0,2,3,0,5,2,0,0,2,2,7,2,2,0,0,2,0,2,4,6,0,8,2,0,2,2,2,5,0,2,2,0,2,8,0,0,0,0,2,6,0,2,2,2
57,Djibouti,39,0,2,0,0,3,3,0,2,0,2,0,0,0,0,2,0,2,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,2,2,0,5,0,0,2,0,0,2,2,2,3,0,0,0,0,5,3,0,0,0,0
58,Dominica,642,0,4,0,0,8,0,16,2,2,110,31,0,0,0,10,3,0,2,2,2,0,20,20,5,2,0,0,0,2,0,0,59,0,137,11,2,2,4,0,5,0,2,5,0,2,34,0,130,0,0,5,5,2,0,0,4
59,Dominican Republic,39590,14,45,41,7,117,16,533,37,56,3368,269,2,5,4,89,41,8,10,16,90,11,260,2489,92,26,14,20,0,6,32,116,5377,2,20402,289,2,168,18,6,2061,1852,872,82,2,25,170,8,120,15,3,141,17,5,31,2,89
60,East Timor,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Ecuador,9470,6,2,29,6,444,23,389,7,8,1306,86,0,6,5,214,15,15,14,16,16,2,106,114,17,73,5,8,2,5,37,7,1618,11,3952,175,2,41,23,20,158,17,13,53,0,20,180,8,0,44,2,91,25,2,13,2,23
62,Egypt,6213,23,2,44,12,1101,12,40,15,7,339,86,0,3,9,136,29,6,16,21,15,2,93,183,125,67,6,20,2,6,21,10,1107,2,920,119,5,139,12,37,233,2,5,49,0,395,249,0,0,4,2,337,91,12,19,0,26
63,El Salvador,18401,20,10,144,145,6807,83,47,11,185,700,315,2,7,17,133,55,63,66,33,35,6,1172,493,28,84,8,40,0,73,319,4,534,23,1981,375,0,41,33,78,63,12,26,49,6,79,2213,2,0,72,2,1491,130,12,26,0,49
64,Equatorial Guinea,14,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
65,Eritrea,1145,0,0,17,2,197,45,3,2,30,9,68,0,0,0,26,18,5,7,2,4,0,86,17,9,43,0,19,0,7,28,0,7,0,20,37,0,31,6,13,23,0,3,0,5,7,83,0,0,4,0,111,138,3,5,0,6
66,Estonia,213,2,0,2,0,34,4,3,0,0,39,4,0,0,0,5,3,2,2,2,0,0,9,5,3,2,0,4,0,0,2,0,8,2,29,2,0,10,0,5,5,0,0,5,0,2,5,2,0,2,0,4,13,0,0,0,0
67,Ethiopia,8323,11,3,81,2,892,288,19,9,354,116,592,0,3,5,158,38,41,59,20,14,11,853,184,48,729,4,84,0,50,300,2,46,2,120,123,2,248,19,85,132,0,2,18,54,165,635,2,0,9,4,974,638,11,24,3,40
68,Fiji,1003,0,3,5,0,785,2,0,0,0,8,9,0,8,0,4,0,2,5,2,2,0,0,6,2,2,0,6,0,0,6,0,6,2,3,0,2,6,0,23,2,0,0,2,0,2,21,0,0,4,0,2,76,0,2,0,2
69,Finland,300,0,0,3,2,53,4,3,0,2,37,23,0,2,2,6,2,2,2,2,3,3,6,8,2,8,0,3,3,0,2,3,4,0,25,6,0,9,2,4,11,0,2,0,2,3,33,0,0,3,0,5,5,0,6,2,0
70,France,2534,9,7,46,2,601,36,38,2,30,269,69,2,15,7,76,11,5,8,12,13,5,85,85,43,33,2,7,3,5,28,10,98,15,295,46,2,27,8,32,60,4,11,33,2,15,128,0,8,8,5,88,56,2,21,0,9
71,French Polynesia,8,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72,Gabon,72,2,2,0,0,9,0,0,0,2,3,4,0,0,0,0,3,0,0,0,2,0,7,2,2,2,0,0,0,0,0,0,4,0,10,2,0,4,0,0,0,0,2,2,0,0,8,0,0,0,0,4,2,0,0,0,0
73,Gambia,573,2,7,2,2,4,3,2,2,2,8,68,0,0,2,2,2,0,5,17,0,0,50,10,16,14,0,3,0,2,0,0,15,0,100,30,0,25,2,7,14,0,14,4,2,11,13,0,0,0,0,13,74,2,28,0,2
74,Georgia,1205,0,3,9,0,179,15,15,2,0,40,30,0,0,2,27,7,4,2,6,2,2,22,11,13,11,0,8,0,0,8,3,97,0,481,4,0,21,2,12,74,0,0,2,0,4,17,0,0,6,0,28,30,0,4,0,4
75,Germany,4066,40,17,101,14,666,77,67,6,19,432,158,3,33,14,96,36,18,18,44,15,12,93,100,112,44,10,51,10,14,44,23,124,28,279,111,5,95,44,61,106,4,13,74,6,48,243,2,2,17,9,151,150,8,48,7,45
76,Ghana,5105,12,2,30,7,151,71,144,39,10,81,288,2,2,4,224,22,9,5,30,5,7,469,275,36,83,8,25,0,8,18,4,497,10,847,117,5,355,45,14,166,0,24,91,2,38,246,3,2,15,6,458,30,5,19,3,39
77,Gibraltar,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
78,Greece,938,2,0,15,0,119,2,30,3,2,90,10,0,0,0,61,4,2,0,2,9,3,24,72,24,7,0,5,0,0,2,7,61,2,216,22,0,29,0,5,34,0,2,2,0,5,26,0,0,2,0,21,14,0,4,0,2
79,Grenada,717,3,0,0,2,5,0,7,2,3,45,17,0,0,0,5,2,0,0,0,0,0,21,8,2,0,0,2,2,2,3,0,28,0,499,4,0,0,2,2,9,0,0,6,0,2,29,0,6,0,0,7,0,0,0,0,0
80,Guatemala,9530,23,3,139,48,4088,41,119,9,20,691,174,0,9,9,274,23,33,33,29,36,2,216,309,35,46,4,19,2,80,162,5,351,24,696,126,2,40,42,95,57,5,220,40,13,56,573,3,0,67,0,302,97,4,16,7,15
81,Guinea,958,3,0,0,0,10,12,4,7,5,9,66,0,0,2,18,15,5,5,2,2,0,64,18,18,35,0,5,0,2,2,0,19,0,425,16,0,48,2,4,61,0,8,3,0,8,18,2,0,2,2,17,8,0,6,0,6
82,Guinea-Bissau,24,0,0,2,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2
83,Guyana,6295,0,2,10,2,62,4,76,18,8,571,168,0,5,0,21,4,2,0,2,4,2,138,31,9,93,2,3,0,2,4,3,429,2,4313,33,0,27,8,2,80,0,4,33,0,8,44,2,4,0,2,36,10,2,2,0,15
84,Haiti,23480,11,4,22,0,80,13,319,59,13,14097,378,0,6,2,74,21,3,9,37,25,8,180,1560,19,16,2,16,0,6,10,18,1838,5,3623,90,2,44,15,18,400,6,61,78,2,19,76,5,29,9,0,86,18,5,5,0,41
85,Honduras,5462,11,4,32,17,638,27,65,0,14,1297,121,0,0,3,75,43,19,12,15,221,7,127,132,13,22,14,24,2,12,39,4,288,4,825,146,2,37,16,20,57,8,7,38,2,43,571,4,0,22,2,262,43,2,30,2,24
86,Hong Kong,2093,5,2,30,2,934,11,16,2,4,56,35,5,31,2,51,4,4,8,3,2,2,25,92,24,10,0,9,2,2,20,3,76,0,281,23,0,21,4,23,26,0,4,6,0,6,95,0,0,8,0,32,88,0,8,0,2
87,Hungary,984,2,2,16,3,173,18,26,0,2,225,22,0,3,2,26,3,2,2,4,7,2,11,24,7,4,2,2,2,0,31,2,55,2,116,17,2,15,4,3,26,0,2,8,3,8,43,0,0,4,2,23,20,2,7,2,2
88,Iceland,75,2,0,2,0,18,2,0,0,2,9,2,0,2,2,0,0,2,0,2,0,2,2,3,2,5,0,0,0,2,0,2,2,0,4,2,0,0,0,2,0,0,0,2,0,2,2,0,0,0,0,8,3,0,2,0,0
89,India,49897,182,9,578,94,10820,256,802,230,36,1741,2147,2,22,29,3120,486,130,221,287,142,28,1291,1298,1334,443,133,338,11,94,201,162,5354,78,3638,1061,31,1106,210,279,1997,3,41,344,23,490,4476,2,7,82,27,2007,1379,44,405,10,136
90,Indonesia,2190,2,0,25,5,996,33,10,3,2,56,64,0,6,3,42,9,2,7,6,6,3,46,21,11,19,4,6,2,0,40,27,55,2,199,24,2,25,14,10,127,0,2,5,2,12,116,0,0,7,2,44,75,2,10,3,3
91,Iran,11623,23,2,226,10,6848,83,46,7,21,247,268,2,6,19,190,41,15,26,24,24,15,329,130,80,45,6,56,2,27,111,9,134,19,344,94,2,113,69,61,94,2,6,34,2,91,784,0,0,65,2,463,245,8,35,2,20
92,Iraq,7771,19,5,426,3,1764,54,35,0,13,127,113,0,3,64,446,23,33,42,84,18,66,55,89,2115,66,0,111,6,78,29,29,66,20,159,64,28,120,38,30,134,0,12,31,6,137,427,0,0,50,13,335,131,2,36,2,13
93,Ireland,1295,2,2,13,3,245,5,37,2,5,86,30,2,3,3,87,5,2,5,11,4,7,17,134,8,10,2,8,2,2,4,6,58,0,261,25,0,25,2,10,36,0,9,12,2,5,40,2,2,3,2,27,22,0,8,0,3
94,Israel,3466,8,2,43,2,927,21,27,2,12,391,65,0,4,2,114,8,5,5,7,13,0,73,112,36,17,4,24,0,4,72,3,232,5,699,44,0,64,5,8,65,0,10,17,0,18,168,2,2,6,2,48,39,3,19,2,11
95,Italy,2355,7,2,33,2,343,17,51,5,12,266,41,3,10,3,81,7,7,2,3,8,5,47,91,65,16,2,15,2,2,25,11,201,4,534,38,2,32,4,18,96,4,8,15,2,9,71,0,2,11,3,66,32,2,12,2,12
96,Jamaica,16442,22,3,51,4,265,28,743,64,41,4607,846,0,12,2,244,19,2,11,20,25,13,470,385,86,30,27,47,2,0,22,22,978,3,5688,167,0,103,60,9,486,2,17,189,0,20,242,20,5,6,6,215,38,6,31,0,40
97,Japan,1837,6,5,22,3,646,12,12,2,6,56,39,8,168,2,63,8,7,8,10,4,3,34,32,22,15,0,9,4,4,26,4,71,7,183,21,0,22,8,24,16,2,2,12,2,9,55,3,2,16,2,51,76,0,8,0,8
98,Jordan,2816,16,0,42,11,464,18,15,3,2,183,35,0,2,2,322,32,7,5,43,62,2,26,41,131,28,4,38,0,6,15,7,180,10,168,76,0,166,18,8,85,14,2,16,0,56,258,0,8,8,0,103,29,4,35,0,13
99,Kazakhstan,909,2,2,14,0,144,15,8,0,2,57,19,0,2,3,32,7,3,10,2,2,8,17,32,10,21,2,4,0,2,4,2,37,2,136,14,0,18,4,37,37,0,2,14,0,6,38,0,0,3,0,38,84,2,9,0,7
100,Kenya,4257,20,8,100,8,406,28,25,66,13,98,298,0,3,7,89,72,24,99,25,6,20,186,268,38,290,7,106,2,18,29,35,195,4,95,138,8,120,75,25,124,0,11,69,4,40,516,2,0,7,5,139,245,4,21,2,14
101,Kiribati,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
102,"Korea, North",27,2,2,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0
103,"Korea, South",15786,53,47,121,21,5205,156,76,16,18,239,790,47,205,18,620,63,27,46,34,27,4,598,191,186,56,10,74,4,18,115,22,1267,10,1620,219,4,130,71,90,399,2,17,109,2,101,772,12,2,22,3,1070,610,10,45,5,88
104,Kosovo,487,0,0,14,2,15,2,33,0,3,20,7,0,0,2,25,2,3,0,9,0,0,3,4,34,3,0,16,0,2,2,2,9,2,170,12,0,3,8,4,16,0,0,2,0,5,32,0,0,2,0,9,5,0,9,0,0
105,Kuwait,920,17,0,13,3,146,5,6,3,3,64,26,0,2,2,66,12,4,12,8,10,6,18,16,54,6,7,6,2,3,3,0,46,2,51,20,0,44,8,8,16,2,0,3,0,14,110,0,2,2,0,35,19,3,10,0,7
106,Kyrgyzstan,395,2,3,3,0,62,4,2,2,3,25,6,0,2,0,9,3,2,0,0,2,0,8,9,4,13,0,2,2,2,6,0,20,2,60,7,0,10,4,16,18,0,0,4,0,3,8,2,0,5,0,25,36,0,2,2,3
107,Laos,3932,4,51,17,62,1248,20,21,0,3,56,84,0,10,6,26,10,40,72,8,12,0,8,34,84,631,0,7,2,7,30,11,5,0,14,184,0,32,39,72,32,0,63,42,4,58,264,2,0,28,0,21,94,0,409,0,6
