,NaturalizedCountry2016,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
37,Cayman Islands,20,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Central African Republic,80,0,0,3,0,2,2,0,0,6,0,5,0,0,2,2,2,0,0,0,0,0,13,2,0,0,0,8,2,0,0,0,2,0,14,7,0,0,2,2,5,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0
39,Chad,105,0,0,3,0,6,2,2,0,0,0,0,0,0,0,0,15,0,0,2,2,0,10,0,0,0,0,0,2,2,2,0,14,0,22,3,0,2,2,2,3,0,0,2,2,0,10,0,0,0,0,2,0,0,0,0,0
40,Chile,1666,4,2,28,2,210,26,27,7,7,402,23,0,2,5,29,3,4,3,2,5,2,58,57,17,10,6,4,2,6,21,5,108,8,182,42,0,8,8,14,27,17,5,4,0,13,87,2,0,40,2,58,55,2,7,0,3
41,"China, People's Republic",35794,137,29,242,61,10254,303,274,54,17,708,661,26,305,34,1033,192,81,108,87,119,33,803,1528,403,259,53,232,11,63,332,48,921,45,9639,394,18,471,152,414,979,23,57,178,16,204,1710,13,11,81,26,674,1036,25,167,8,42
42,Colombia,18601,46,14,70,20,1033,81,390,18,38,6835,614,2,15,11,286,49,17,45,29,64,10,249,574,56,45,18,54,9,22,92,43,2142,27,2359,409,2,64,41,47,302,134,154,230,5,73,1134,5,2,87,5,320,121,4,39,4,43
43,Comoros,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Congo, Democratic Republic",1707,11,2,41,0,59,68,13,0,4,25,66,0,0,26,71,16,60,3,56,6,38,101,57,31,22,0,27,0,18,7,16,3,0,95,151,37,49,3,32,33,0,4,4,17,16,270,2,0,12,12,53,58,0,11,0,2
45,"Congo, Republic",395,2,0,19,0,19,19,8,2,3,5,21,0,0,5,16,3,17,4,7,3,6,16,10,7,4,0,5,2,6,3,0,8,2,24,13,10,12,4,5,11,0,2,2,0,12,46,0,0,2,4,12,17,0,2,0,0
46,Cook Islands,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
47,Costa Rica,1862,7,2,14,2,179,25,34,4,2,381,57,0,3,2,27,7,2,10,6,16,2,48,52,13,12,6,6,2,4,19,4,384,10,121,84,0,11,10,17,41,4,0,34,2,13,102,2,0,6,0,31,29,3,13,0,1
48,Cote d'Ivoire,1127,4,2,11,0,50,19,10,6,5,30,70,0,0,0,25,6,3,3,6,2,2,115,32,15,19,0,11,2,6,2,2,40,2,321,25,4,33,6,7,45,0,7,11,4,11,69,3,0,4,2,40,29,0,6,0,6
49,Croatia,438,0,2,18,0,40,7,4,0,2,38,11,0,0,4,29,14,6,0,3,3,0,10,11,12,2,0,12,0,2,16,3,21,0,50,11,0,32,0,3,12,0,2,4,2,2,20,0,0,6,0,8,8,0,12,0,1
50,Cuba,32101,35,3,158,2,346,21,25,4,4,27082,186,0,6,3,95,17,12,26,308,94,4,36,50,103,15,14,79,2,75,563,8,634,78,356,144,3,29,16,82,110,130,8,43,3,78,803,2,2,16,0,95,50,2,19,2,23
