,NaturalizedCountry2011,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
74,Germany,4461,54,15,105,17,724,121,55,8,13,487,155,4,41,22,145,42,10,31,47,16,13,116,126,102,33,8,46,17,8,39,23,137,35,269,152,6,84,34,71,126,8,12,80,7,53,268,40,2,30,13,130,151,9,45,2,54
75,Ghana,4690,8,2,34,7,131,73,95,36,5,80,261,2,4,4,260,22,8,14,32,2,2,388,270,22,87,6,12,3,9,11,4,420,6,961,112,2,283,51,7,142,0,26,34,2,38,233,16,0,6,5,306,32,2,16,2,100
76,Gibraltar,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
77,Greece,844,2,0,13,0,118,6,24,4,2,64,9,0,3,0,75,5,2,2,2,3,0,25,67,24,5,2,3,0,2,10,13,35,2,169,17,0,17,2,2,35,2,4,12,0,6,26,2,0,6,3,7,13,0,3,0,4
78,Grenada,528,2,0,0,0,5,0,9,2,5,47,12,0,0,0,2,0,0,0,0,0,0,21,6,2,2,0,2,0,0,0,0,21,0,328,7,0,2,2,2,7,0,0,6,0,5,16,2,4,2,2,10,2,0,0,0,2
79,Guatemala,7285,30,4,130,26,2878,75,81,5,9,552,131,0,9,12,271,47,27,25,22,26,6,158,347,18,41,3,27,3,63,128,8,309,18,401,81,2,36,43,66,44,8,203,28,6,58,432,8,0,64,2,133,72,2,22,2,86
80,Guinea,575,4,0,6,0,7,10,9,11,2,9,54,0,0,0,9,12,0,2,2,0,0,50,23,13,21,2,0,0,0,0,2,21,0,156,12,0,35,2,2,43,0,6,3,0,14,7,2,0,2,2,10,10,0,2,0,5
81,Guinea-Bissau,29,0,0,3,0,4,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,7,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Guyana,5413,8,0,5,3,57,2,114,11,7,630,152,0,3,0,24,3,3,4,3,9,0,144,43,11,88,5,9,0,2,11,2,417,0,3291,31,0,34,5,2,77,2,2,20,0,11,78,12,3,0,2,43,7,3,2,0,23
83,Haiti,14191,14,4,17,2,81,19,256,51,5,7980,322,0,6,4,86,21,2,8,19,27,4,153,1365,17,12,2,38,0,5,19,10,721,3,2057,52,2,25,19,10,305,6,79,46,0,32,63,24,25,8,2,67,20,3,2,0,75
